,t,EAG1,EAG3,EAG4,EAG2,Solenoid
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.0263671875,0.0146484375,0.0,-0.0498046875,-1.505859375
2,0.02,-0.0205078125,-0.01171875,0.0029296875,0.0,-1.505859375
3,0.03,-0.01171875,-0.0146484375,0.0,0.0087890625,-1.51171875
4,0.04,-0.01171875,-0.0146484375,0.0,0.01171875,-1.5087890625
5,0.05,-0.0087890625,-0.0146484375,0.0,0.0,-1.51171875
6,0.06,-0.017578125,-0.0146484375,-0.0029296875,0.0029296875,-1.51171875
7,0.07,-0.0234375,-0.0146484375,-0.0029296875,-0.005859375,-1.5087890625
8,0.08,-0.029296875,-0.01171875,0.0,-0.0029296875,-1.505859375
9,0.09,-0.029296875,0.0,-0.0029296875,0.0029296875,-1.505859375
10,0.1,-0.0263671875,-0.0087890625,0.0,0.0029296875,-1.5087890625
11,0.11,-0.0234375,0.0029296875,0.0029296875,0.0,-1.505859375
12,0.12,-0.0146484375,0.005859375,0.0029296875,0.0,-1.505859375
13,0.13,-0.0205078125,0.0087890625,0.0,-0.0029296875,-1.5087890625
14,0.14,-0.0263671875,0.005859375,0.0,-0.0029296875,-1.51171875
15,0.15,-0.0234375,0.005859375,-0.01171875,-0.0087890625,-1.5087890625
16,0.16,-0.0234375,0.005859375,-0.0087890625,0.0,-1.505859375
17,0.17,-0.0234375,-0.0087890625,-0.0029296875,0.0,-1.505859375
18,0.18,-0.017578125,-0.005859375,-0.005859375,0.0087890625,-1.51171875
19,0.19,-0.0146484375,-0.0087890625,-0.0087890625,0.0,-1.505859375
20,0.2,-0.0234375,0.0029296875,0.0,0.0,-1.5029296875
21,0.21,-0.0087890625,0.0,-0.005859375,-0.0087890625,-1.505859375
22,0.22,0.0,-0.005859375,-0.01171875,-0.0234375,-1.5087890625
23,0.23,0.0146484375,0.0,0.0,-0.0205078125,-1.505859375
24,0.24,0.0087890625,-0.01171875,0.0,-0.0205078125,-1.5087890625
25,0.25,0.0087890625,-0.0029296875,0.0029296875,-0.017578125,-1.5087890625
26,0.26,0.005859375,0.0087890625,0.0029296875,-0.0146484375,-1.5087890625
27,0.27,0.005859375,0.01171875,0.0029296875,-0.017578125,-1.5087890625
28,0.28,0.0029296875,0.005859375,0.005859375,-0.01171875,-1.5087890625
29,0.29,0.0029296875,-0.0087890625,0.0,-0.01171875,-1.5087890625
30,0.3,-0.0087890625,-0.0087890625,-0.0087890625,0.0,-1.51171875
31,0.31,-0.0146484375,-0.01171875,-0.005859375,-0.0087890625,-1.5087890625
32,0.32,-0.0205078125,-0.005859375,-0.01171875,-0.01171875,-1.505859375
33,0.33,-0.0146484375,-0.005859375,0.0,-0.029296875,-1.5029296875
34,0.34,-0.005859375,0.0,0.0029296875,-0.029296875,-1.505859375
35,0.35000000000000003,-0.0029296875,0.0,0.005859375,-0.0234375,-1.5146484375
36,0.36,0.0,0.0,0.0087890625,-0.0146484375,-1.5087890625
37,0.37,0.0087890625,0.0146484375,0.0087890625,-0.017578125,-1.5087890625
38,0.38,0.017578125,0.0087890625,0.005859375,-0.017578125,-1.505859375
39,0.39,0.029296875,0.0029296875,0.0029296875,-0.029296875,-1.505859375
40,0.4,0.0439453125,0.0,0.0029296875,-0.017578125,-1.5087890625
41,0.41000000000000003,0.0498046875,-0.0087890625,-0.0029296875,-0.029296875,-1.5087890625
42,0.42,0.052734375,0.0,0.0,-0.0234375,-1.505859375
43,0.43,0.0439453125,0.005859375,0.0029296875,-0.0146484375,-1.505859375
44,0.44,0.03515625,0.005859375,0.0087890625,-0.0029296875,-1.5087890625
45,0.45,0.029296875,0.01171875,0.0146484375,-0.0146484375,-1.505859375
46,0.46,0.0087890625,0.0029296875,0.005859375,-0.017578125,-1.505859375
47,0.47000000000000003,-0.005859375,0.0,-0.0087890625,-0.017578125,-1.51171875
48,0.48,-0.017578125,0.005859375,-0.0029296875,-0.0087890625,-1.505859375
49,0.49,-0.0263671875,0.0146484375,-0.005859375,-0.0029296875,-1.5146484375
50,0.5,-0.0263671875,0.0205078125,-0.0029296875,-0.005859375,-1.505859375
51,0.51,-0.0087890625,0.017578125,-0.0087890625,-0.005859375,-1.5087890625
52,0.52,-0.005859375,0.0087890625,-0.005859375,0.0,-1.5
53,0.53,0.0,0.01171875,-0.0087890625,-0.005859375,-1.505859375
54,0.54,-0.0029296875,0.0029296875,-0.0087890625,-0.0029296875,-1.5087890625
55,0.55,-0.0087890625,0.0087890625,-0.005859375,-0.0029296875,-1.505859375
56,0.56,-0.0146484375,0.01171875,0.0087890625,0.0029296875,-1.51171875
57,0.5700000000000001,-0.0234375,0.0087890625,0.0029296875,0.005859375,-1.505859375
58,0.58,-0.0263671875,0.0,0.005859375,0.0087890625,-1.505859375
59,0.59,-0.0205078125,0.005859375,0.0029296875,0.005859375,-1.5087890625
60,0.6,-0.017578125,0.0029296875,-0.005859375,0.005859375,-1.5087890625
61,0.61,-0.0205078125,-0.0029296875,-0.0087890625,-0.005859375,-1.51171875
62,0.62,-0.0263671875,-0.0087890625,-0.0029296875,0.005859375,-1.505859375
63,0.63,-0.0322265625,-0.0146484375,-0.0087890625,0.005859375,-1.5087890625
64,0.64,-0.0380859375,-0.0234375,-0.005859375,0.017578125,-1.505859375
65,0.65,-0.03515625,-0.0087890625,0.0029296875,0.01171875,-1.5087890625
66,0.66,-0.029296875,-0.01171875,0.0029296875,0.0087890625,-1.5087890625
67,0.67,-0.0322265625,-0.0087890625,0.0087890625,0.005859375,-1.5087890625
68,0.68,-0.0234375,-0.0146484375,0.01171875,0.0029296875,-1.51171875
69,0.6900000000000001,-0.0205078125,-0.017578125,0.005859375,0.005859375,-1.5087890625
70,0.7000000000000001,-0.01171875,-0.01171875,0.005859375,0.0087890625,-1.505859375
71,0.71,-0.01171875,-0.01171875,0.0,0.0146484375,-1.5087890625
72,0.72,-0.0029296875,-0.005859375,-0.0029296875,0.0146484375,-1.5087890625
73,0.73,0.0,0.005859375,-0.005859375,0.0205078125,-1.5087890625
74,0.74,0.0,0.0029296875,0.0,0.0146484375,-1.505859375
75,0.75,-0.0029296875,0.0087890625,0.0029296875,0.01171875,-1.5029296875
76,0.76,0.005859375,0.0146484375,-0.005859375,0.01171875,-1.505859375
77,0.77,0.0,0.017578125,0.0,0.0087890625,-1.505859375
78,0.78,-0.01171875,0.0029296875,-0.005859375,0.0087890625,-1.51171875
79,0.79,-0.017578125,0.0029296875,-0.0087890625,0.0029296875,-1.5087890625
80,0.8,-0.0087890625,0.0,-0.0146484375,0.0,-1.51171875
81,0.81,-0.005859375,0.0,-0.0029296875,-0.0029296875,-1.5087890625
82,0.8200000000000001,-0.0146484375,-0.0087890625,-0.0087890625,0.0,-1.5087890625
83,0.8300000000000001,-0.0146484375,-0.0263671875,0.0,0.0,-1.505859375
84,0.84,-0.005859375,-0.03515625,0.005859375,-0.0029296875,-1.5029296875
85,0.85,-0.0205078125,-0.0322265625,0.01171875,-0.005859375,-1.5087890625
86,0.86,-0.0205078125,-0.0234375,0.0,-0.0029296875,-1.5087890625
87,0.87,-0.01171875,-0.01171875,-0.0029296875,0.0,-1.5087890625
88,0.88,-0.01171875,-0.0087890625,-0.005859375,-0.0087890625,-1.51171875
89,0.89,-0.01171875,-0.0087890625,0.0029296875,-0.01171875,-1.5087890625
90,0.9,-0.0029296875,-0.017578125,-0.0029296875,-0.0029296875,-1.505859375
91,0.91,0.0,-0.0234375,-0.005859375,-0.0029296875,-1.51171875
92,0.92,0.0087890625,-0.0205078125,-0.005859375,0.0029296875,-1.505859375
93,0.93,0.0,-0.01171875,-0.0029296875,0.0,-1.51171875
94,0.9400000000000001,0.0029296875,-0.01171875,-0.0029296875,-0.0029296875,-1.5087890625
95,0.9500000000000001,0.0029296875,-0.0205078125,0.0,0.0,-1.5087890625
96,0.96,-0.0146484375,-0.0234375,0.0029296875,0.0,-1.5087890625
97,0.97,-0.017578125,-0.0205078125,0.005859375,-0.005859375,-1.5087890625
98,0.98,-0.017578125,-0.0205078125,0.005859375,-0.01171875,-1.505859375
99,0.99,-0.017578125,-0.01171875,0.0,-0.0029296875,-1.5087890625
100,1.0,-0.0234375,-0.0087890625,-0.0029296875,0.0,-1.51171875
101,1.01,-0.0234375,-0.01171875,-0.0029296875,-0.0029296875,-1.5087890625
102,1.02,-0.0234375,-0.0087890625,-0.005859375,-0.0029296875,-1.505859375
103,1.03,-0.0322265625,-0.0087890625,-0.0087890625,0.005859375,-1.505859375
104,1.04,-0.0263671875,-0.0029296875,-0.0087890625,0.0087890625,-1.5087890625
105,1.05,-0.0263671875,-0.005859375,-0.0087890625,0.0146484375,-1.5087890625
106,1.06,-0.017578125,-0.01171875,-0.0087890625,0.0146484375,-1.505859375
107,1.07,-0.0263671875,-0.005859375,-0.0087890625,0.01171875,-1.5087890625
108,1.08,-0.0146484375,-0.0087890625,-0.005859375,0.0087890625,-1.505859375
109,1.09,-0.0087890625,-0.0029296875,-0.0087890625,0.0146484375,-1.505859375
