,t,EAG1,EAG3,EAG4,EAG2,Solenoid
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.1025390625,0.01171875,0.01171875,-0.1376953125,-1.505859375
2,0.02,-0.0498046875,-0.0029296875,-0.0029296875,0.0673828125,-1.5146484375
3,0.03,-0.0556640625,-0.005859375,0.0029296875,0.0673828125,-1.505859375
4,0.04,-0.05859375,0.0,0.0029296875,0.0703125,-1.5087890625
5,0.05,-0.0498046875,0.0029296875,0.0,0.076171875,-1.505859375
6,0.06,-0.041015625,-0.005859375,-0.0029296875,0.0791015625,-1.5087890625
7,0.07,-0.0439453125,-0.01171875,-0.0087890625,0.087890625,-1.505859375
8,0.08,-0.041015625,-0.0029296875,-0.01171875,0.087890625,-1.5087890625
9,0.09,-0.0498046875,-0.0029296875,-0.01171875,0.0849609375,-1.5087890625
10,0.1,-0.0556640625,-0.0029296875,-0.0029296875,0.087890625,-1.505859375
11,0.11,-0.0498046875,-0.005859375,-0.0029296875,0.099609375,-1.5087890625
12,0.12,-0.0439453125,-0.0146484375,-0.005859375,0.1025390625,-1.5087890625
13,0.13,-0.0498046875,-0.0029296875,0.0,0.0966796875,-1.505859375
14,0.14,-0.052734375,0.0,0.0,0.0966796875,-1.5087890625
15,0.15,-0.05859375,0.0029296875,-0.0087890625,0.099609375,-1.51171875
16,0.16,-0.0556640625,0.0029296875,0.0,0.0966796875,-1.5087890625
17,0.17,-0.046875,0.0,-0.0087890625,0.09375,-1.51171875
18,0.18,-0.029296875,0.0,-0.017578125,0.0966796875,-1.505859375
19,0.19,-0.01171875,0.0029296875,-0.017578125,0.0908203125,-1.5087890625
20,0.2,0.005859375,0.01171875,-0.0146484375,0.08203125,-1.5087890625
21,0.21,0.017578125,0.0205078125,-0.017578125,0.0791015625,-1.5087890625
22,0.22,0.0263671875,0.017578125,-0.0205078125,0.076171875,-1.5087890625
23,0.23,0.01171875,0.005859375,-0.0146484375,0.08203125,-1.505859375
24,0.24,-0.01171875,-0.0087890625,-0.0029296875,0.0791015625,-1.5029296875
25,0.25,-0.005859375,-0.01171875,0.005859375,0.08203125,-1.505859375
26,0.26,-0.01171875,-0.01171875,-0.0087890625,0.076171875,-1.5029296875
27,0.27,-0.0087890625,-0.005859375,-0.01171875,0.0703125,-1.5146484375
28,0.28,-0.0029296875,0.005859375,-0.01171875,0.0732421875,-1.51171875
29,0.29,0.005859375,-0.0087890625,-0.01171875,0.0703125,-1.5087890625
30,0.3,0.0,-0.0146484375,-0.0146484375,0.076171875,-1.505859375
31,0.31,-0.01171875,-0.005859375,-0.0146484375,0.0703125,-1.5087890625
32,0.32,-0.0263671875,0.0,-0.0087890625,0.0703125,-1.5087890625
33,0.33,-0.0439453125,0.0029296875,-0.0087890625,0.0673828125,-1.505859375
34,0.34,-0.0498046875,0.0146484375,-0.0029296875,0.0732421875,-1.505859375
35,0.35000000000000003,-0.052734375,0.0029296875,-0.0029296875,0.064453125,-1.51171875
36,0.36,-0.0439453125,0.0029296875,0.005859375,0.0673828125,-1.505859375
37,0.37,-0.0556640625,-0.0087890625,-0.0029296875,0.0673828125,-1.505859375
38,0.38,-0.05859375,-0.005859375,0.0029296875,0.076171875,-1.5029296875
39,0.39,-0.064453125,-0.0029296875,-0.0029296875,0.0615234375,-1.5087890625
40,0.4,-0.05859375,0.0,-0.0029296875,0.05859375,-1.5087890625
41,0.41000000000000003,-0.0615234375,-0.005859375,-0.0087890625,0.0556640625,-1.5087890625
42,0.42,-0.0556640625,-0.01171875,-0.0146484375,0.0556640625,-1.5029296875
43,0.43,-0.0615234375,-0.01171875,-0.0146484375,0.052734375,-1.505859375
44,0.44,-0.0498046875,-0.005859375,-0.005859375,0.052734375,-1.505859375
45,0.45,-0.0322265625,0.0087890625,-0.0087890625,0.0498046875,-1.5029296875
46,0.46,-0.0205078125,0.01171875,-0.005859375,0.0556640625,-1.51171875
47,0.47000000000000003,-0.01171875,0.0029296875,-0.0146484375,0.052734375,-1.505859375
48,0.48,-0.005859375,-0.005859375,-0.0205078125,0.0498046875,-1.5087890625
49,0.49,0.0146484375,-0.005859375,-0.01171875,0.0498046875,-1.5087890625
50,0.5,0.041015625,-0.0029296875,-0.005859375,0.046875,-1.5087890625
51,0.51,0.0498046875,-0.005859375,-0.0087890625,0.046875,-1.5087890625
52,0.52,0.0615234375,0.005859375,-0.0087890625,0.046875,-1.505859375
53,0.53,0.0703125,0.0,-0.01171875,0.0380859375,-1.5087890625
54,0.54,0.076171875,0.01171875,0.0,0.0380859375,-1.505859375
55,0.55,0.0673828125,0.0087890625,-0.005859375,0.03515625,-1.505859375
56,0.56,0.05859375,0.0029296875,-0.01171875,0.0322265625,-1.5087890625
57,0.5700000000000001,0.0556640625,0.0,-0.0087890625,0.0146484375,-1.5
58,0.58,0.0615234375,0.0029296875,-0.005859375,0.01171875,-1.5087890625
59,0.59,0.052734375,0.0029296875,0.0,0.005859375,-1.5087890625
60,0.6,0.041015625,0.0029296875,-0.0087890625,0.01171875,-1.51171875
61,0.61,0.041015625,0.0087890625,0.0,0.0087890625,-1.51171875
62,0.62,0.0498046875,0.01171875,0.0087890625,0.0,-1.505859375
63,0.63,0.046875,0.01171875,-0.005859375,0.0,-1.505859375
64,0.64,0.0380859375,0.0029296875,-0.0029296875,-0.005859375,-1.51171875
65,0.65,0.0380859375,-0.0087890625,-0.0029296875,0.0,-1.51171875
66,0.66,0.0380859375,-0.017578125,-0.0029296875,-0.01171875,-1.5087890625
67,0.67,0.0380859375,-0.01171875,-0.0029296875,-0.0146484375,-1.5087890625
68,0.68,0.029296875,-0.0029296875,-0.0087890625,-0.0205078125,-1.5087890625
69,0.6900000000000001,0.01171875,0.0029296875,-0.005859375,-0.0263671875,-1.505859375
70,0.7000000000000001,-0.0146484375,0.0029296875,-0.0087890625,-0.0263671875,-1.5087890625
71,0.71,-0.0322265625,0.0,-0.01171875,-0.029296875,-1.505859375
72,0.72,-0.041015625,0.005859375,-0.0205078125,-0.029296875,-1.5087890625
73,0.73,-0.0498046875,0.005859375,-0.0234375,-0.0322265625,-1.5087890625
74,0.74,-0.0498046875,0.0087890625,-0.0087890625,-0.041015625,-1.5087890625
75,0.75,-0.0263671875,0.0205078125,0.0,-0.0380859375,-1.51171875
76,0.76,-0.01171875,0.0234375,0.005859375,-0.041015625,-1.5029296875
77,0.77,0.0,0.0205078125,0.01171875,-0.046875,-1.505859375
78,0.78,0.005859375,0.0087890625,0.0029296875,-0.0498046875,-1.51171875
79,0.79,0.0087890625,0.0,-0.005859375,-0.046875,-1.5087890625
80,0.8,0.0029296875,-0.0029296875,-0.0087890625,-0.0498046875,-1.5087890625
81,0.81,-0.0029296875,-0.01171875,-0.0087890625,-0.0498046875,-1.5087890625
82,0.8200000000000001,-0.017578125,-0.017578125,-0.005859375,-0.052734375,-1.505859375
