,t,EAG1,EAG3,EAG4,EAG2,Solenoid
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,-0.0087890625,-0.005859375,0.0087890625,-0.041015625,-1.5087890625
2,0.02,-0.01171875,-0.0029296875,-0.005859375,0.01171875,-1.505859375
3,0.03,-0.0087890625,0.005859375,-0.01171875,0.01171875,-1.51171875
4,0.04,-0.0087890625,0.0029296875,-0.0029296875,0.017578125,-1.5
5,0.05,-0.017578125,0.0087890625,-0.0029296875,0.01171875,-1.5087890625
6,0.06,-0.0087890625,0.0,0.0,0.0029296875,-1.5029296875
7,0.07,0.005859375,0.0,-0.005859375,0.0,-1.505859375
8,0.08,0.029296875,0.005859375,0.0,0.0,-1.505859375
9,0.09,0.0556640625,0.0,0.0,0.005859375,-1.505859375
10,0.1,0.064453125,0.0,0.005859375,-0.0029296875,-1.5087890625
11,0.11,0.0673828125,-0.01171875,0.0087890625,0.0,-1.505859375
12,0.12,0.064453125,-0.01171875,0.0146484375,0.0087890625,-1.505859375
13,0.13,0.064453125,-0.01171875,0.0087890625,0.0,-1.505859375
14,0.14,0.064453125,-0.0146484375,0.0029296875,-0.005859375,-1.51171875
15,0.15,0.064453125,-0.01171875,-0.0087890625,-0.005859375,-1.51171875
16,0.16,0.052734375,-0.0263671875,-0.005859375,0.0,-1.5
17,0.17,0.05859375,-0.017578125,0.005859375,0.005859375,-1.505859375
18,0.18,0.05859375,-0.0322265625,0.0087890625,0.0087890625,-1.51171875
19,0.19,0.05859375,-0.029296875,0.0,0.0087890625,-1.51171875
20,0.2,0.041015625,-0.0146484375,0.0,0.0,-1.5146484375
21,0.21,0.041015625,-0.0029296875,0.0029296875,0.0,-1.5087890625
22,0.22,0.0234375,0.01171875,0.0087890625,-0.01171875,-1.5087890625
23,0.23,0.017578125,0.0087890625,0.01171875,0.0029296875,-1.5087890625
24,0.24,0.0029296875,0.005859375,0.0146484375,0.0,-1.505859375
25,0.25,-0.01171875,0.005859375,0.0087890625,0.0,-1.505859375
26,0.26,-0.0263671875,-0.0029296875,0.0,0.0029296875,-1.5087890625
27,0.27,-0.03515625,0.0,-0.0087890625,0.005859375,-1.5087890625
28,0.28,-0.046875,-0.01171875,-0.0146484375,0.0029296875,-1.51171875
29,0.29,-0.052734375,-0.0087890625,-0.01171875,0.005859375,-1.51171875
30,0.3,-0.0615234375,0.0029296875,-0.0234375,-0.0029296875,-1.505859375
31,0.31,-0.064453125,0.0087890625,-0.017578125,0.0,-1.505859375
32,0.32,-0.0703125,0.0146484375,-0.0087890625,0.0029296875,-1.5087890625
33,0.33,-0.0673828125,0.01171875,-0.0087890625,-0.0029296875,-1.51171875
34,0.34,-0.046875,0.0,-0.005859375,-0.005859375,-1.5087890625
35,0.35000000000000003,-0.029296875,0.0,-0.0087890625,-0.0029296875,-1.505859375
36,0.36,-0.017578125,0.0087890625,-0.0146484375,0.0,-1.505859375
37,0.37,-0.0205078125,-0.0029296875,-0.005859375,0.0,-1.505859375
38,0.38,-0.0380859375,-0.0087890625,0.0,0.0087890625,-1.505859375
39,0.39,-0.05859375,-0.0234375,0.0029296875,0.01171875,-1.5029296875
40,0.4,-0.0849609375,-0.0146484375,-0.0087890625,0.01171875,-1.5029296875
41,0.41000000000000003,-0.087890625,-0.0029296875,-0.01171875,0.0146484375,-1.5087890625
42,0.42,-0.0791015625,0.0029296875,-0.0087890625,0.0029296875,-1.5087890625
43,0.43,-0.0703125,0.005859375,-0.005859375,0.005859375,-1.5087890625
44,0.44,-0.05859375,0.0146484375,-0.005859375,0.005859375,-1.5087890625
45,0.45,-0.041015625,0.0087890625,-0.01171875,0.0087890625,-1.5087890625
46,0.46,-0.03515625,0.0,-0.0146484375,0.005859375,-1.505859375
47,0.47000000000000003,-0.041015625,0.0,-0.005859375,0.01171875,-1.505859375
48,0.48,-0.046875,-0.005859375,-0.0029296875,0.01171875,-1.505859375
49,0.49,-0.052734375,-0.0087890625,-0.0146484375,0.0146484375,-1.505859375
50,0.5,-0.052734375,-0.005859375,-0.0205078125,0.0087890625,-1.505859375
51,0.51,-0.0322265625,-0.01171875,-0.0146484375,0.0146484375,-1.505859375
52,0.52,-0.0087890625,-0.0087890625,0.0,0.017578125,-1.505859375
53,0.53,0.005859375,0.0029296875,-0.0029296875,0.0146484375,-1.505859375
54,0.54,0.0087890625,-0.0029296875,-0.0087890625,0.005859375,-1.5146484375
55,0.55,0.01171875,-0.01171875,-0.01171875,0.0,-1.5087890625
56,0.56,0.0029296875,-0.0146484375,-0.0087890625,0.005859375,-1.5087890625
57,0.5700000000000001,0.0029296875,-0.017578125,-0.005859375,0.0087890625,-1.5087890625
58,0.58,0.005859375,-0.005859375,-0.0146484375,0.0029296875,-1.51171875
59,0.59,0.0146484375,0.005859375,-0.005859375,0.0029296875,-1.5087890625
60,0.6,0.01171875,0.0,-0.005859375,-0.0029296875,-1.505859375
61,0.61,0.005859375,-0.0087890625,0.0,0.0029296875,-1.5087890625
62,0.62,0.0029296875,-0.005859375,0.005859375,0.005859375,-1.51171875
63,0.63,0.0029296875,-0.0029296875,0.0087890625,0.01171875,-1.5087890625
64,0.64,0.0087890625,0.0,-0.0029296875,0.01171875,-1.5087890625
65,0.65,0.017578125,0.01171875,-0.005859375,0.01171875,-1.505859375
66,0.66,0.0234375,0.0029296875,-0.0029296875,0.005859375,-1.505859375
67,0.67,0.0234375,0.005859375,-0.0029296875,0.0,-1.505859375
68,0.68,0.0146484375,0.0146484375,-0.0087890625,0.0,-1.5087890625
