,t,EAG1,EAG3,EAG4,EAG2,Solenoid
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,-0.017578125,-0.0205078125,0.005859375,-0.0322265625,-1.505859375
2,0.02,-0.0673828125,-0.01171875,0.0029296875,0.076171875,-1.505859375
3,0.03,-0.0556640625,-0.01171875,0.0,0.0791015625,-1.5
4,0.04,-0.046875,-0.0146484375,0.0087890625,0.0732421875,-1.5087890625
5,0.05,-0.03515625,-0.017578125,0.0029296875,0.064453125,-1.5087890625
6,0.06,-0.029296875,-0.0234375,0.0,0.0556640625,-1.5087890625
7,0.07,-0.0263671875,-0.0146484375,-0.0029296875,0.0556640625,-1.5087890625
8,0.08,-0.03515625,-0.0146484375,-0.005859375,0.0498046875,-1.505859375
9,0.09,-0.052734375,-0.01171875,0.0,0.0439453125,-1.5087890625
10,0.1,-0.0615234375,-0.0087890625,-0.0029296875,0.046875,-1.5087890625
11,0.11,-0.0556640625,-0.0029296875,-0.005859375,0.0439453125,-1.51171875
12,0.12,-0.046875,-0.0146484375,-0.0146484375,0.0380859375,-1.505859375
13,0.13,-0.0556640625,-0.01171875,-0.0146484375,0.0380859375,-1.5029296875
14,0.14,-0.0732421875,-0.0234375,-0.0146484375,0.03515625,-1.505859375
15,0.15,-0.076171875,-0.0234375,-0.01171875,0.0439453125,-1.505859375
16,0.16,-0.0703125,-0.0234375,-0.0087890625,0.0439453125,-1.5029296875
17,0.17,-0.0673828125,-0.029296875,-0.005859375,0.0439453125,-1.505859375
18,0.18,-0.046875,-0.0263671875,-0.005859375,0.0498046875,-1.5087890625
19,0.19,-0.0439453125,-0.0146484375,-0.0205078125,0.0498046875,-1.51171875
20,0.2,-0.0380859375,-0.01171875,-0.0146484375,0.0439453125,-1.51171875
21,0.21,-0.041015625,-0.0234375,-0.0146484375,0.046875,-1.505859375
22,0.22,-0.0322265625,-0.0263671875,-0.0087890625,0.052734375,-1.505859375
23,0.23,-0.0234375,-0.0146484375,-0.0087890625,0.0615234375,-1.5087890625
24,0.24,-0.03515625,-0.01171875,-0.0029296875,0.0615234375,-1.5
25,0.25,-0.041015625,-0.017578125,-0.0029296875,0.0703125,-1.5087890625
26,0.26,-0.041015625,-0.017578125,-0.0146484375,0.0732421875,-1.505859375
27,0.27,-0.03515625,-0.0205078125,-0.01171875,0.076171875,-1.5087890625
28,0.28,-0.0498046875,-0.01171875,-0.017578125,0.087890625,-1.505859375
29,0.29,-0.0615234375,-0.01171875,-0.005859375,0.0849609375,-1.5087890625
30,0.3,-0.076171875,-0.0146484375,-0.0087890625,0.0908203125,-1.505859375
31,0.31,-0.099609375,-0.0146484375,-0.005859375,0.099609375,-1.5
32,0.32,-0.10546875,-0.0263671875,0.0029296875,0.1025390625,-1.505859375
33,0.33,-0.1083984375,-0.0234375,0.0029296875,0.1142578125,-1.5087890625
34,0.34,-0.1083984375,-0.0234375,0.0,0.1201171875,-1.505859375
35,0.35000000000000003,-0.111328125,-0.0146484375,-0.005859375,0.123046875,-1.505859375
36,0.36,-0.1142578125,-0.01171875,-0.0146484375,0.1318359375,-1.5087890625
37,0.37,-0.099609375,-0.0146484375,-0.005859375,0.1376953125,-1.5087890625
38,0.38,-0.09375,-0.0087890625,-0.0087890625,0.140625,-1.5087890625
39,0.39,-0.0966796875,-0.005859375,-0.01171875,0.1552734375,-1.505859375
40,0.4,-0.099609375,-0.0146484375,-0.0087890625,0.1640625,-1.5087890625
41,0.41000000000000003,-0.087890625,-0.0087890625,-0.0029296875,0.158203125,-1.51171875
42,0.42,-0.0849609375,-0.0087890625,0.0087890625,0.1640625,-1.5087890625
43,0.43,-0.0849609375,-0.0146484375,0.0087890625,0.169921875,-1.5029296875
44,0.44,-0.0849609375,0.0,0.01171875,0.17578125,-1.5087890625
45,0.45,-0.0966796875,0.005859375,0.0087890625,0.1728515625,-1.5087890625
46,0.46,-0.09375,0.0,0.017578125,0.17578125,-1.505859375
47,0.47000000000000003,-0.0908203125,0.0,0.017578125,0.17578125,-1.505859375
48,0.48,-0.0732421875,0.0029296875,0.01171875,0.1728515625,-1.505859375
49,0.49,-0.0556640625,0.0,0.0087890625,0.17578125,-1.505859375
50,0.5,-0.0498046875,0.0,0.01171875,0.169921875,-1.5087890625
51,0.51,-0.03515625,0.0,0.01171875,0.169921875,-1.51171875
52,0.52,-0.046875,-0.0029296875,0.0029296875,0.17578125,-1.51171875
53,0.53,-0.0556640625,-0.0087890625,0.0,0.169921875,-1.5087890625
54,0.54,-0.0615234375,-0.01171875,0.0,0.169921875,-1.505859375
55,0.55,-0.0673828125,-0.0146484375,-0.005859375,0.1669921875,-1.505859375
56,0.56,-0.064453125,-0.0087890625,-0.0029296875,0.1787109375,-1.5
57,0.5700000000000001,-0.076171875,-0.0087890625,0.0,0.181640625,-1.5087890625
58,0.58,-0.0732421875,-0.0029296875,0.0087890625,0.17578125,-1.505859375
59,0.59,-0.064453125,0.0,0.0087890625,0.17578125,-1.5
60,0.6,-0.05859375,-0.0029296875,0.0087890625,0.158203125,-1.51171875
61,0.61,-0.05859375,0.0,0.005859375,0.15234375,-1.5087890625
62,0.62,-0.0498046875,-0.0029296875,-0.0029296875,0.15234375,-1.5087890625
63,0.63,-0.041015625,-0.0087890625,-0.005859375,0.1494140625,-1.5087890625
64,0.64,-0.0439453125,-0.0146484375,-0.005859375,0.146484375,-1.51171875
65,0.65,-0.046875,-0.0087890625,0.0,0.134765625,-1.5087890625
66,0.66,-0.052734375,0.0029296875,-0.005859375,0.134765625,-1.505859375
67,0.67,-0.046875,0.0087890625,-0.0029296875,0.1259765625,-1.51171875
68,0.68,-0.03515625,0.0087890625,0.0087890625,0.1259765625,-1.505859375
69,0.6900000000000001,-0.03515625,0.0146484375,0.017578125,0.1201171875,-1.5087890625
70,0.7000000000000001,-0.0322265625,0.0087890625,0.0146484375,0.1201171875,-1.5087890625
71,0.71,-0.0263671875,-0.0029296875,0.0146484375,0.1083984375,-1.51171875
72,0.72,-0.0322265625,-0.0087890625,0.017578125,0.0966796875,-1.5087890625
73,0.73,-0.0263671875,-0.0146484375,0.0234375,0.10546875,-1.505859375
74,0.74,-0.0234375,-0.0146484375,0.017578125,0.099609375,-1.5087890625
75,0.75,-0.0263671875,-0.0087890625,0.01171875,0.0966796875,-1.505859375
76,0.76,-0.0234375,-0.017578125,0.005859375,0.0966796875,-1.505859375
77,0.77,-0.01171875,-0.0087890625,0.0029296875,0.0908203125,-1.505859375
78,0.78,-0.005859375,0.0,-0.0029296875,0.0908203125,-1.505859375
79,0.79,0.0029296875,0.0,-0.01171875,0.0849609375,-1.5146484375
80,0.8,0.0,0.005859375,-0.0029296875,0.076171875,-1.505859375
81,0.81,0.0029296875,0.005859375,0.0029296875,0.076171875,-1.5087890625
82,0.8200000000000001,0.0087890625,0.005859375,0.0087890625,0.0673828125,-1.5087890625
83,0.8300000000000001,0.0205078125,-0.0029296875,0.01171875,0.0615234375,-1.5087890625
84,0.84,0.0234375,0.0,-0.005859375,0.0498046875,-1.5087890625
85,0.85,0.029296875,0.0029296875,-0.005859375,0.0498046875,-1.5087890625
86,0.86,0.0263671875,0.0,-0.01171875,0.0439453125,-1.51171875
87,0.87,0.029296875,0.0,-0.01171875,0.046875,-1.505859375
88,0.88,0.0205078125,0.0,-0.005859375,0.0380859375,-1.5087890625
89,0.89,0.017578125,-0.0029296875,-0.005859375,0.0439453125,-1.51171875
90,0.9,0.01171875,-0.0029296875,0.0,0.0380859375,-1.5087890625
91,0.91,0.0146484375,0.005859375,0.0029296875,0.03515625,-1.505859375
92,0.92,0.005859375,-0.0029296875,0.0,0.029296875,-1.505859375
93,0.93,0.0029296875,0.0,-0.0029296875,0.017578125,-1.5087890625
94,0.9400000000000001,-0.01171875,0.005859375,0.0,0.0146484375,-1.5087890625
95,0.9500000000000001,-0.017578125,0.0146484375,-0.0029296875,0.0087890625,-1.5087890625
96,0.96,-0.0087890625,0.0,0.0029296875,0.0,-1.5087890625
97,0.97,-0.005859375,-0.0029296875,0.01171875,0.0029296875,-1.505859375
98,0.98,-0.0087890625,0.0,-0.0029296875,0.0,-1.5
99,0.99,-0.01171875,0.0029296875,-0.005859375,0.0029296875,-1.5029296875
100,1.0,-0.0234375,0.0029296875,-0.017578125,0.005859375,-1.5087890625
101,1.01,-0.0205078125,-0.005859375,-0.0146484375,0.0,-1.505859375
102,1.02,-0.0205078125,-0.01171875,-0.0146484375,-0.005859375,-1.5087890625
103,1.03,-0.01171875,-0.0146484375,-0.01171875,-0.0029296875,-1.5
104,1.04,-0.01171875,-0.005859375,-0.0029296875,-0.0029296875,-1.5029296875
105,1.05,-0.0146484375,0.0,-0.01171875,-0.0146484375,-1.51171875
106,1.06,-0.0087890625,0.0,-0.017578125,-0.017578125,-1.505859375
107,1.07,0.0029296875,-0.01171875,-0.0205078125,-0.0234375,-1.51171875
108,1.08,-0.005859375,-0.005859375,-0.0205078125,-0.0146484375,-1.505859375
109,1.09,-0.005859375,-0.0029296875,-0.017578125,-0.017578125,-1.5087890625
110,1.1,-0.0146484375,0.005859375,-0.0263671875,-0.0146484375,-1.505859375
111,1.11,-0.0146484375,0.01171875,-0.0234375,-0.0146484375,-1.505859375
112,1.12,-0.01171875,0.0146484375,-0.0146484375,-0.0263671875,-1.5087890625
113,1.1300000000000001,-0.0146484375,0.0087890625,-0.0146484375,-0.0380859375,-1.505859375
114,1.1400000000000001,-0.0146484375,-0.005859375,-0.017578125,-0.0380859375,-1.505859375
115,1.1500000000000001,-0.0234375,0.0,-0.0146484375,-0.0380859375,-1.5087890625
116,1.16,-0.0205078125,-0.0087890625,0.0029296875,-0.041015625,-1.5087890625
117,1.17,-0.0234375,-0.0029296875,0.0029296875,-0.0439453125,-1.505859375
