,t,EAG1,EAG3,EAG4,EAG2,Solenoid
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,-0.1435546875,-0.005859375,0.005859375,0.1142578125,-1.5029296875
2,0.02,-0.03515625,-0.01171875,-0.01171875,0.087890625,-1.51171875
3,0.03,-0.0234375,-0.0029296875,-0.0205078125,0.08203125,-1.5087890625
4,0.04,-0.0439453125,0.0087890625,-0.01171875,0.087890625,-1.5
5,0.05,-0.0615234375,0.005859375,-0.01171875,0.0908203125,-1.5029296875
6,0.06,-0.0791015625,0.005859375,-0.005859375,0.0849609375,-1.5029296875
7,0.07,-0.1025390625,0.0,0.0,0.076171875,-1.51171875
8,0.08,-0.1201171875,-0.01171875,0.005859375,0.0791015625,-1.505859375
9,0.09,-0.1201171875,-0.0205078125,0.005859375,0.0791015625,-1.5087890625
10,0.1,-0.10546875,-0.01171875,0.0,0.087890625,-1.5029296875
11,0.11,-0.0849609375,-0.005859375,-0.0029296875,0.0791015625,-1.505859375
12,0.12,-0.0791015625,-0.01171875,-0.0087890625,0.0732421875,-1.5029296875
13,0.13,-0.0615234375,-0.0029296875,0.0029296875,0.08203125,-1.51171875
14,0.14,-0.05859375,-0.0029296875,0.0,0.087890625,-1.505859375
15,0.15,-0.0673828125,0.0029296875,-0.0029296875,0.0849609375,-1.505859375
16,0.16,-0.05859375,0.01171875,0.0,0.0849609375,-1.505859375
17,0.17,-0.05859375,0.0029296875,0.0,0.0791015625,-1.505859375
18,0.18,-0.046875,-0.005859375,-0.0087890625,0.076171875,-1.505859375
19,0.19,-0.0380859375,-0.0029296875,-0.0146484375,0.0673828125,-1.51171875
20,0.2,-0.0234375,-0.0087890625,-0.0205078125,0.052734375,-1.5087890625
21,0.21,-0.0146484375,-0.0146484375,-0.01171875,0.052734375,-1.5087890625
22,0.22,-0.017578125,-0.017578125,0.0,0.05859375,-1.505859375
23,0.23,-0.0263671875,-0.0087890625,0.01171875,0.0556640625,-1.505859375
24,0.24,-0.03515625,-0.0029296875,0.0029296875,0.05859375,-1.505859375
25,0.25,-0.0498046875,0.0029296875,-0.0029296875,0.052734375,-1.51171875
26,0.26,-0.0439453125,0.0,-0.01171875,0.0556640625,-1.5087890625
27,0.27,-0.0322265625,-0.0087890625,-0.017578125,0.046875,-1.505859375
28,0.28,-0.01171875,-0.0146484375,-0.0146484375,0.0439453125,-1.5087890625
29,0.29,0.0,-0.0087890625,-0.0087890625,0.046875,-1.5
30,0.3,0.0,-0.0029296875,-0.0146484375,0.0498046875,-1.505859375
31,0.31,0.0029296875,0.0,-0.017578125,0.0498046875,-1.5087890625
32,0.32,0.017578125,0.0,-0.0146484375,0.041015625,-1.5029296875
33,0.33,0.0439453125,0.0029296875,-0.01171875,0.0380859375,-1.5087890625
34,0.34,0.052734375,0.005859375,-0.005859375,0.0439453125,-1.505859375
